"id","Algorithm"
1,"REPTree"
2,"RandomTree"
3,"RandomForest"
4,"LMT"
5,"J48"
6,"RandomCommittee"
7,"PART"
8,"ZeroR"
9,"OneR"
10,"JRip"
11,"DecisionTable"
12,"Vote"
13,"LogitBoost"
14,"Stacking"
15,"Bagging"
16,"AdaBoostM1"
17,"NaiveBayesUpdateable"
18,"NaiveBayes"
19,"BayesNet"
20,"LWL"
21,"KStar"
22,"IBk"
23,"SMO"
24,"SimpleLogistic"
25,"Logistic"
26,"MultilayerPerceptron"
27,"LibSVM"
28,"DecisionStump"
29,"REPTree"
30,"RandomTree"
31,"RandomForest"
32,"LMT"
33,"J48"
34,"RandomCommittee"
35,"PART"
36,"ZeroR"
37,"OneR"
38,"JRip"
39,"DecisionTable"
40,"Vote"
41,"LogitBoost"
42,"Stacking"
43,"Bagging"
44,"AdaBoostM1"
45,"NaiveBayesUpdateable"
46,"NaiveBayes"
47,"BayesNet"
48,"LWL"
49,"KStar"
50,"IBk"
51,"SMO"
52,"SimpleLogistic"
53,"Logistic"
54,"MultilayerPerceptron"
55,"LibSVM"
56,"DecisionStump"
57,"REPTree"
58,"RandomTree"
59,"RandomForest"
60,"LMT"
61,"J48"
62,"RandomCommittee"
63,"PART"
64,"ZeroR"
65,"OneR"
66,"JRip"
67,"DecisionTable"
68,"Vote"
69,"LogitBoost"
70,"Stacking"
71,"Bagging"
72,"AdaBoostM1"
73,"NaiveBayesUpdateable"
74,"NaiveBayes"
75,"BayesNet"
76,"LWL"
77,"KStar"
78,"IBk"
79,"SMO"
80,"SimpleLogistic"
81,"Logistic"
82,"MultilayerPerceptron"
83,"LibSVM"
84,"DecisionStump"
85,"REPTree"
86,"RandomTree"
87,"RandomForest"
88,"LMT"
89,"J48"
90,"RandomCommittee"
91,"PART"
92,"ZeroR"
93,"OneR"
94,"JRip"
95,"DecisionTable"
96,"Vote"
97,"LogitBoost"
98,"Stacking"
99,"Bagging"
100,"AdaBoostM1"
101,"NaiveBayesUpdateable"
102,"NaiveBayes"
103,"BayesNet"
104,"LWL"
105,"KStar"
106,"IBk"
107,"SMO"
108,"SimpleLogistic"
109,"Logistic"
110,"MultilayerPerceptron"
111,"LibSVM"
112,"DecisionStump"
113,"REPTree"
114,"RandomTree"
115,"RandomForest"
116,"LMT"
117,"J48"
118,"RandomCommittee"
119,"PART"
120,"ZeroR"
121,"OneR"
122,"JRip"
123,"DecisionTable"
124,"Vote"
125,"LogitBoost"
126,"Stacking"
127,"Bagging"
128,"AdaBoostM1"
129,"NaiveBayesUpdateable"
130,"NaiveBayes"
131,"BayesNet"
132,"LWL"
133,"KStar"
134,"IBk"
135,"SMO"
136,"SimpleLogistic"
137,"Logistic"
138,"MultilayerPerceptron"
139,"LibSVM"
140,"DecisionStump"
