dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.481992857,0.447442857,0.416703571,0.409117857,0.404242857,0.422575
autos,0.583585714,0.492767857,0.494989286,0.496560714,0.491246429,0.493964286
audiology,0.628875,0.613714286,0.614685714,0.601296429,0.609392857,0.591278571
abalone,0.785492857,0.786903571,0.781396429,0.771135714,0.772489286,0.774196429
bridge,0.463742857,0.476439286,0.475689286,0.497514286,0.480007143,0.451178571
car,0.2998,0.247732143,0.210753571,0.244717857,0.216539286,0.235989286
cmc,0.56245,0.571882143,0.5879,0.565503571,0.5623,0.556921429
opdigits,0.594089286,0.466882143,0.36915,0.359975,0.332925,0.298603571
vehicle,0.505082143,0.487671429,0.464760714,0.422403571,0.409021429,0.400967857
waveform,0.229321429,0.231,0.230635714,0.23245,0.235064286,0.235992857
